# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.GC.collectionTimesMs,1706353308931000000,1706353368953000000,403
JVM.totalBytesAllocated,1706353308931000000,1706353368953000000,3457794544
OS.loadAverage,1706353308931000000,1706353368953000000,-1.0
JVM.maxHeapBytes,1706353308931000000,1706353368953000000,2147483648
JVM.totalCpuTimeMs,1706353308931000000,1706353368953000000,47140
JVM.GC.collections,1706353308931000000,1706353368953000000,33
JVM.threadCount,1706353308931000000,1706353368953000000,144
JVM.usedHeapBytes,1706353308931000000,1706353368953000000,353831424
JVM.usedNativeBytes,1706353308931000000,1706353368953000000,367143592
JVM.maxNativeBytes,1706353308931000000,1706353368953000000,-1
FileNameCache.totalMisses,1706353308931000000,1706353368953000000,407223
FileNameCache.queries,1706353308931000000,1706353368953000000,10701062
AWTEventQueue.dispatchTimeAvgNs,1706353308931000000,1706353368953000000,3808317.43281842
FlushQueue.waitingTime90PNs,1706353308931000000,1706353368953000000,183500799
FlushQueue.waitingTimeAvgNs,1706353308931000000,1706353368953000000,5.943564305350805E7
FlushQueue.queueSizeAvg,1706353308931000000,1706353368953000000,12.806306306306306
AWTEventQueue.dispatchTimeTotalNS,1706353308931000000,1706353368953000000,26127440700
NonBlockingReadAction.failedExecutionsCount,1706353308931000000,1706353368953000000,12
FlushQueue.queueSizeMax,1706353308931000000,1706353368953000000,101
FlushQueue.executionTimeAvgNs,1706353308931000000,1706353368953000000,1474021.680999181
AWTEventQueue.dispatchTimeMaxNs,1706353308931000000,1706353368953000000,1325400063
FlushQueue.executionTime90PNs,1706353308931000000,1706353368953000000,532479
FlushQueue.queueSize90P,1706353308931000000,1706353368953000000,44
AWTEventQueue.dispatchTime90PNs,1706353308931000000,1706353368953000000,6881279
AWTEventQueue.eventsDispatched,1706353308931000000,1706353368953000000,6862
FlushQueue.executionTimeMaxNs,1706353308931000000,1706353368953000000,1325400063
NonBlockingReadAction.failedExecutionTimeUs,1706353308931000000,1706353368953000000,1376804
NonBlockingReadAction.finalizedExecutionsCount,1706353308931000000,1706353368953000000,353
WriteAction.executionsCount,1706353308931000000,1706353368953000000,79
FlushQueue.tasksExecuted,1706353308931000000,1706353368953000000,7326
NonBlockingReadAction.finalizedExecutionTimeUs,1706353308931000000,1706353368953000000,8716805
ReadAction.executionsCount,1706353308931000000,1706353368953000000,605577
FlushQueue.waitingTimeMaxNs,1706353308931000000,1706353368953000000,1593835519
jps.library.entities.serializer.load.entities.ms,1706353308931000000,1706353368953000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1706353308931000000,1706353368953000000,0
workspaceModel.global.updates.count,1706353308931000000,1706353368953000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1706353308931000000,1706353368953000000,0
workspaceModel.sync.entities.ms,1706353308931000000,1706353368953000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1706353308931000000,1706353368953000000,1
jps.apply.loaded.storage.ms,1706353308931000000,1706353368953000000,64
jps.global.initialize.library.bridges.ms,1706353308931000000,1706353368953000000,1
workspaceModel.mutableEntityStorage.has.same.entities.ms,1706353308931000000,1706353368953000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1706353308931000000,1706353368953000000,0
workspaceModel.moduleBridge.before.changed.ms,1706353308931000000,1706353368953000000,0
jps.module.iml.entities.serializer.save.entities.ms,1706353308931000000,1706353368953000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1706353308931000000,1706353368953000000,685
jps.save.changed.project.entities.ms,1706353308931000000,1706353368953000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1706353308931000000,1706353368953000000,0
workspaceModel.load.cache.metadata.from.file.ms,1706353308931000000,1706353368953000000,87
jps.storage.jps.conf.reader.load.component.ms,1706353308931000000,1706353368953000000,132
workspaceModel.moduleManagerBridge.newModule.ms,1706353308931000000,1706353368953000000,0
workspaceModel.moduleBridge.update.option.ms,1706353308931000000,1706353368953000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1706353308931000000,1706353368953000000,0
jps.artifact.entities.serializer.save.entities.ms,1706353308931000000,1706353368953000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1706353308931000000,1706353368953000000,0
jps.project.serializers.load.ms,1706353308931000000,1706353368953000000,122
jps.global.handle.changed.events.ms,1706353308931000000,1706353368953000000,0
workspaceModel.global.updates.ms,1706353308931000000,1706353368953000000,0
workspaceModel.orphan.listener.update.ms,1706353308931000000,1706353368953000000,5
jps.library.entities.serializer.save.entities.ms,1706353308931000000,1706353368953000000,0
workspaceModel.global.apply.state.to.project.ms,1706353308931000000,1706353368953000000,92
workspaceModel.mutableEntityStorage.add.entity.ms,1706353308931000000,1706353368953000000,33
jps.global.get.library.by.name.ms,1706353308931000000,1706353368953000000,0
jps.facet.change.listener.init.bridge.ms,1706353308931000000,1706353368953000000,0
jps.module.iml.entities.serializer.load.entities.ms,1706353308931000000,1706353368953000000,61
jps.global.get.libraries.ms,1706353308931000000,1706353368953000000,0
workspaceModel.load.cache.from.file.ms,1706353308931000000,1706353368953000000,696
workspaceModel.mutableEntityStorage.replace.by.source.ms,1706353308931000000,1706353368953000000,36
workspaceModel.global.apply.state.to.project.builder.ms,1706353308931000000,1706353368953000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1706353308931000000,1706353368953000000,4
workspaceModel.moduleManagerBridge.load.all.modules.ms,1706353308931000000,1706353368953000000,124
jps.facet.change.listener.before.change.events.ms,1706353308931000000,1706353368953000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1706353308931000000,1706353368953000000,743
workspaceModel.moduleManagerBridge.load.module.ms,1706353308931000000,1706353368953000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1706353308931000000,1706353368953000000,0
jps.app.storage.content.reader.load.component.ms,1706353308931000000,1706353368953000000,1
jps.project.serializers.save.ms,1706353308931000000,1706353368953000000,0
jps.reload.project.entities.ms,1706353308931000000,1706353368953000000,0
jps.load.project.to.empty.storage.ms,1706353308931000000,1706353368953000000,591
jps.save.global.entities.ms,1706353308931000000,1706353368953000000,0
workspaceModel.save.cache.to.file.ms,1706353308931000000,1706353368953000000,115
jps.global.get.library.ms,1706353308931000000,1706353368953000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1706353308931000000,1706353368953000000,19
jps.facet.change.listener.process.change.events.ms,1706353308931000000,1706353368953000000,1
workspaceModel.moduleManagerBridge.get.modules.ms,1706353308931000000,1706353368953000000,1
workspaceModel.moduleManagerBridge.build.module.graph.ms,1706353308931000000,1706353368953000000,18
workspaceModel.mutableEntityStorage.entities.ms,1706353308931000000,1706353368953000000,1
jps.global.initialize.library.bridges.after.loading.ms,1706353308931000000,1706353368953000000,0
jps.load.initial.state.ms,1706353308931000000,1706353368953000000,19
workspaceModel.mutableEntityStorage.entities.by.source.ms,1706353308931000000,1706353368953000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1706353308931000000,1706353368953000000,3
workspaceModel.mutableEntityStorage.collect.changes.ms,1706353308931000000,1706353368953000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1706353308931000000,1706353368953000000,26
workspaceModel.mutableEntityStorage.modify.entity.ms,1706353308931000000,1706353368953000000,11
jps.artifact.entities.serializer.load.entities.ms,1706353308931000000,1706353368953000000,0
jps.global.handle.before.change.events.ms,1706353308931000000,1706353368953000000,0
workspaceModel.pre.handlers.ms,1706353308931000000,1706353368953000000,0
workspaceModel.updates.count,1706353308931000000,1706353368953000000,3
workspaceModel.update.unloaded.entities.ms,1706353308931000000,1706353368953000000,0
workspaceModel.check.recursive.update.ms,1706353308931000000,1706353368953000000,2
workspaceModel.initializing.ms,1706353308931000000,1706353368953000000,2
workspaceModel.updates.precise.ms,1706353308931000000,1706353368953000000,62
workspaceModel.loading.total.ms,1706353308931000000,1706353368953000000,784
workspaceModel.to.snapshot.ms,1706353308931000000,1706353368953000000,2
workspaceModel.collect.changes.ms,1706353308931000000,1706353368953000000,0
workspaceModel.updates.ms,1706353308931000000,1706353368953000000,168
workspaceModel.loading.from.cache.ms,1706353308931000000,1706353368953000000,715
workspaceModel.replace.project.model.ms,1706353308931000000,1706353368953000000,0
workspaceModel.init.bridges.ms,1706353308931000000,1706353368953000000,2
IndexesFlusher.totalFlushes,1706353308931000000,1706353368953000000,156
IndexesFlusher.totalContentionQuotaSpent,1706353308931000000,1706353368953000000,204
Indexes.allKeys.lookups,1706353308931000000,1706353368953000000,0.0
Indexes.allKeys.lookupDuration90PMs,1706353308931000000,1706353368953000000,0.0
IndexesFlusher.totalFlushingTimeUs,1706353308931000000,1706353368953000000,1277868
Indexes.entries.lookupDuration90PMs,1706353308931000000,1706353368953000000,40.0
Indexes.allKeys.lookupDurationMaxMs,1706353308931000000,1706353368953000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1706353308931000000,1706353368953000000,0.0
Indexes.stubs.lookupDuration90PMs,1706353308931000000,1706353368953000000,3.0
IndexesFlusher.totalFlushesRetried,1706353308931000000,1706353368953000000,8
Indexes.stubs.lookupDurationMaxMs,1706353308931000000,1706353368953000000,95.0
Indexes.stubs.lookups,1706353308931000000,1706353368953000000,93.0
Indexes.stubs.lookupDurationAvgMs,1706353308931000000,1706353368953000000,4.193548387096774
Indexes.entries.lookupDurationMaxMs,1706353308931000000,1706353368953000000,70.0
Indexes.entries.lookupDurationAvgMs,1706353308931000000,1706353368953000000,21.0625
Indexes.entries.lookups,1706353308931000000,1706353368953000000,16.0
FilePageCacheLockFree.totalPagesHandedOver,1706353308931000000,1706353368953000000,0
FilePageCacheLockFree.totalPagesWriteMs,1706353308931000000,1706353368953000000,1
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1706353308931000000,1706353368953000000,7521465
FilePageCacheLockFree.housekeeperTurnsSkipped,1706353308931000000,1706353368953000000,39593
FilePageCacheLockFree.housekeeperTurnsDone,1706353308931000000,1706353368953000000,119
FilePageCache.maxRegisteredFiles,1706353308931000000,1706353368953000000,642
FilePageCacheLockFree.totalPagesAllocated,1706353308931000000,1706353368953000000,9
DirectByteBufferAllocator.reclaimed,1706353308931000000,1706353368953000000,21
MappedFileStorage.totalPagesMapped,1706353308931000000,1706353368953000000,16
FilePageCache.pageHits,1706353308931000000,1706353368953000000,9131
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1706353308931000000,1706353368953000000,1048576
FilePageCache.totalPageLoadsUs,1706353308931000000,1706353368953000000,520004
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1706353308931000000,1706353368953000000,1805341
FilePageCacheLockFree.totalHeapBytesAllocated,1706353308931000000,1706353368953000000,0
